id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,city
49952187,329464978,District 10,32.91558,-96.73819,Entire Home/Apt,217.0,5,19,0.31,15,335,Dallas
49952672,329464978,District 10,32.91407,-96.73714,Entire Home/Apt,110.0,2,26,0.43,15,358,Dallas
50021488,64242304,District 14,32.80848,-96.76778,Entire Home/Apt,210.0,1,68,1.14,16,343,Dallas
50046212,389385913,District 11,32.92732,-96.79644,Entire Home/Apt,1346.0,3,59,0.98,10,158,Dallas
50051633,114702110,District 4,32.74313551931304,-96.79059014052456,Entire Home/Apt,370.0,2,70,1.82,2,303,Dallas
50051962,47055693,District 4,32.74443,-96.78984,Entire Home/Apt,636.0,2,6,1.51,15,333,Dallas
50054368,373957214,District 1,32.75075,-96.82385,Entire Home/Apt,139.0,1,332,5.5,16,339,Dallas
50134882,404556202,District 14,32.80094,-96.76381,Entire Home/Apt,265.0,1,102,1.69,1,61,Dallas
50148532,373957214,District 1,32.75079,-96.82529,Entire Home/Apt,146.0,1,323,5.36,16,341,Dallas
50156523,121579461,District 11,32.93576,-96.80612,Entire Home/Apt,146.0,30,50,0.83,1,298,Dallas
50169622,24462521,District 14,32.8115072,-96.8108964,Entire Home/Apt,524.0,1,69,1.15,1,257,Dallas
50226696,329464978,District 10,32.91571,-96.73692,Entire Home/Apt,200.0,2,20,0.34,15,348,Dallas
50227065,287262809,District 14,32.81261,-96.81016,Private Room,86.0,6,0,0.0,1,349,Dallas
50228120,2102817,District 14,32.84268,-96.76785,Entire Home/Apt,87.0,30,16,0.28,1,297,Dallas
50231841,405494367,District 2,32.83976,-96.83316,Entire Home/Apt,262.0,3,59,0.98,1,108,Dallas
50247168,339170908,District 2,32.80517,-96.77815,Entire Home/Apt,159.0,30,87,2.04,1,253,Dallas
50247817,22178929,District 8,32.65351867675781,-96.82247161865234,Entire Home/Apt,244.0,14,120,1.99,1,299,Dallas
50309597,168570791,District 9,32.84273023658355,-96.74251581894518,Entire Home/Apt,745.0,2,77,1.3,3,302,Dallas
50382286,66353000,District 13,32.88846,-96.87285,Entire Home/Apt,540.0,1,165,2.75,5,300,Dallas
50401476,405807186,District 11,32.88563,-96.77231,Entire Home/Apt,141.0,3,35,0.62,1,185,Dallas
50405194,50122489,District 6,32.78982,-96.85651,Entire Home/Apt,283.0,2,45,1.73,1,37,Dallas
50481994,407831997,District 4,32.72563,-96.8179,Entire Home/Apt,373.0,2,160,2.7,8,354,Dallas
50563880,38817842,District 13,32.86684,-96.7575,Entire Home/Apt,110.0,30,18,0.3,1,287,Dallas
50572729,34693825,District 9,32.85128,-96.65784,Entire Home/Apt,251.0,2,86,1.45,7,365,Dallas
50581205,372592509,District 14,32.78300857543945,-96.80085754394533,Entire Home/Apt,198.0,1,49,0.82,9,360,Dallas
50598528,63064721,District 6,32.77476,-96.82837,Entire Home/Apt,106.0,14,2,0.04,2,336,Dallas
50608778,36151189,District 2,32.77769088745117,-96.79595947265624,Entire Home/Apt,668.0,1,163,2.74,28,314,Dallas
50615026,81675305,District 14,32.83607,-96.75305,Entire Home/Apt,146.0,30,29,0.56,2,292,Dallas
50701904,373957214,District 1,32.75231,-96.82505,Entire Home/Apt,154.0,1,339,5.68,16,340,Dallas
50707894,409774727,District 1,32.74856,-96.83249,Entire Home/Apt,125.0,1,11,0.19,3,1,Dallas
50733308,247532731,District 11,32.95357,-96.79972,Entire Home/Apt,163.0,28,18,0.31,4,224,Dallas
50734634,338570291,District 2,32.79707,-96.76634,Entire Home/Apt,177.0,1,33,0.62,2,212,Dallas
50754704,181178708,District 7,32.76587,-96.71455,Entire Home/Apt,209.0,2,129,2.51,4,355,Dallas
50757716,28823091,District 1,32.74502,-96.84386,Entire Home/Apt,491.0,2,44,0.74,1,335,Dallas
50759508,203603888,District 14,32.78264,-96.8016,Entire Home/Apt,254.0,1,234,3.96,5,160,Dallas
50856358,411166895,District 12,32.98695,-96.79494,Entire Home/Apt,728.0,2,18,0.3,1,87,Dallas
50857896,25741592,District 3,32.67636,-96.79991,Private Room,92.0,2,2,0.04,3,365,Dallas
50872166,1669761094498599936,District 9,32.82662,-96.70716,Entire Home/Apt,312.0,2,62,1.05,1,208,Dallas
50880402,132762920,District 7,32.76171430726247,-96.77006195515654,Entire Home/Apt,178.0,30,12,0.34,1,114,Dallas
50953237,411527590,District 2,32.78523,-96.78117,Entire Home/Apt,209.0,2,24,0.43,1,349,Dallas
50959195,146477,District 1,32.7502326965332,-96.84307861328124,Entire Home/Apt,102.0,2,140,2.69,1,355,Dallas
50961679,158221840,District 1,32.74318,-96.85944,Entire Home/Apt,251.0,1,259,4.49,1,74,Dallas
51014349,50284779,District 6,32.87729,-96.84447,Entire Home/Apt,491.0,27,5,0.09,4,364,Dallas
51025739,386021104,District 14,32.82344,-96.76902,Entire Home/Apt,100.0,1,164,2.78,7,350,Dallas
51108409,102268300,District 2,32.78487,-96.7829,Entire Home/Apt,342.0,1,62,1.1,1,252,Dallas
51166757,373957214,District 1,32.75283,-96.82346,Entire Home/Apt,138.0,1,270,4.58,16,357,Dallas
51178473,122082073,District 2,32.80626678466797,-96.8246078491211,Entire Home/Apt,334.0,1,208,3.53,7,345,Dallas
51186958,16783105,District 11,32.88669,-96.77051,Entire Home/Apt,87.0,10,10,0.18,7,273,Dallas
51195626,373957214,District 1,32.75248,-96.82498,Entire Home/Apt,137.0,1,334,5.69,16,335,Dallas
51263301,23916014,District 2,32.798373052327406,-96.77456386661312,Entire Home/Apt,215.0,4,13,0.24,91,329,Dallas
51264907,56393267,District 1,32.753323,-96.837936,Entire Home/Apt,91.0,1,42,0.73,4,304,Dallas
51305835,81675305,District 14,32.83561,-96.7544,Entire Home/Apt,152.0,30,64,1.14,2,292,Dallas
51369068,181794187,District 2,32.77769,-96.79596,Entire Home/Apt,305.0,1,96,1.65,13,348,Dallas
51385015,407831997,District 6,32.7923,-96.85579,Entire Home/Apt,291.0,2,155,2.66,8,303,Dallas
51388629,47487405,District 14,32.818371,-96.78495,Entire Home/Apt,480.0,2,78,1.41,4,129,Dallas
51419886,329464978,District 10,32.91358,-96.73772,Entire Home/Apt,94.0,5,20,0.35,15,275,Dallas
51443127,43897852,District 3,32.64461,-96.95534,Private Room,107.0,1,1,0.03,4,1,Dallas
51451233,431586546,District 2,32.81362,-96.77874,Entire Home/Apt,127.0,7,19,0.33,5,268,Dallas
51465535,416833669,District 14,32.81882,-96.80893,Entire Home/Apt,159.0,28,20,0.35,2,176,Dallas
51472129,391994705,District 14,32.79155,-96.79194,Entire Home/Apt,254.0,2,7,0.13,3,336,Dallas
51493359,417089157,District 14,32.80052,-96.76718,Entire Home/Apt,90.0,15,18,0.35,1,348,Dallas
51493422,372592509,District 14,32.78165610000001,-96.7988344,Entire Home/Apt,376.0,1,20,0.34,9,358,Dallas
51524774,389638144,District 14,32.79695,-96.78306,Entire Home/Apt,514.0,1,0,0.0,1,365,Dallas
51556582,389385913,District 6,32.791706,-96.889618,Entire Home/Apt,346.0,2,103,1.77,10,363,Dallas
51652618,23916014,District 2,32.79678651338229,-96.77634322093829,Entire Home/Apt,209.0,4,16,0.28,91,329,Dallas
51673319,36151189,District 2,32.77769088745117,-96.79595947265624,Entire Home/Apt,227.0,1,61,1.05,28,353,Dallas
51673820,36151189,District 2,32.77769088745117,-96.79595947265624,Entire Home/Apt,307.0,1,75,1.3,28,356,Dallas
51733700,25741592,District 3,32.67564,-96.79979,Private Room,69.0,2,5,0.09,3,365,Dallas
51750489,419237632,District 2,32.81185,-96.77565,Entire Home/Apt,594.0,2,97,1.71,1,292,Dallas
51770295,419391001,District 1,32.76632,-96.8221,Entire Home/Apt,183.0,1,5,0.09,1,355,Dallas
51786522,419519764,District 1,32.74647,-96.834,Entire Home/Apt,129.0,2,97,1.68,6,217,Dallas
51787811,419519764,District 1,32.74634,-96.83525,Entire Home/Apt,126.0,2,80,1.41,6,193,Dallas
51788177,73227695,District 4,32.70409,-96.80294,Entire Home/Apt,298.0,1,417,7.22,4,361,Dallas
51829327,329464978,District 10,32.91429,-96.73707,Entire Home/Apt,117.0,2,31,0.54,15,177,Dallas
51842921,63064721,District 13,32.89223,-96.76585,Entire Home/Apt,101.0,14,1,0.02,2,299,Dallas
51868352,395748661,District 13,32.87675,-96.75854,Entire Home/Apt,130.0,12,6,0.13,6,316,Dallas
51870142,13531684,District 2,32.80627,-96.78406,Private Room,166.0,1,13,0.23,1,160,Dallas
51907826,62395523,District 1,32.75414,-96.83922,Entire Home/Apt,258.0,30,13,0.23,6,329,Dallas
51963128,142486611,District 1,32.7369521,-96.8598269,Entire Home/Apt,240.0,1,70,4.31,2,349,Dallas
51979783,211225279,District 14,32.81563,-96.78833,Entire Home/Apt,1166.0,7,1,0.02,29,299,Dallas
51980525,193512222,District 2,32.81461,-96.77506,Entire Home/Apt,964.0,1,152,2.74,9,63,Dallas
51987659,77971584,District 4,32.68839,-96.83403,Entire Home/Apt,333.0,1,103,2.13,1,141,Dallas
51989198,152103107,District 14,32.80449,-96.76144,Entire Home/Apt,98.0,2,82,1.43,6,351,Dallas
52024775,50090525,District 6,32.78883,-96.84626,Entire Home/Apt,389.0,2,185,3.26,1,223,Dallas
52051517,998462,District 11,32.92332,-96.80164,Entire Home/Apt,1161.0,1,35,0.62,2,207,Dallas
52086301,125752097,District 8,32.67158,-96.74945,Private Room,45.0,1,0,0.0,8,365,Dallas
52113562,26228756,District 11,32.88742,-96.77761,Entire Home/Apt,644.0,3,5,0.48,1,67,Dallas
52147642,284517676,District 2,32.81298,-96.78468,Entire Home/Apt,272.0,1,69,1.21,1,183,Dallas
52149391,105820908,District 12,32.99133,-96.78953,Entire Home/Apt,457.0,2,43,0.76,3,45,Dallas
52153232,88592386,District 14,32.8312,-96.77034,Entire Home/Apt,651.0,2,119,2.2,1,312,Dallas
52186258,80546953,District 2,32.77662,-96.79564,Entire Home/Apt,231.0,2,36,0.63,1,87,Dallas
52223862,77497159,District 9,32.9637,-96.48124,Entire Home/Apt,354.0,2,18,0.32,1,172,Dallas
52233446,40907479,District 6,32.87451,-96.84294,Entire Home/Apt,320.0,3,28,0.51,6,35,Dallas
52271290,6675921,District 14,32.84671,-96.76798,Entire Home/Apt,102.0,14,30,0.53,2,168,Dallas
52274639,36151189,District 2,32.77769088745117,-96.79595947265624,Entire Home/Apt,243.0,1,110,1.93,28,365,Dallas
52333046,35247871,District 7,32.8041,-96.7037,Entire Home/Apt,254.0,2,35,0.62,1,348,Dallas
52365200,31628738,District 6,32.873492714160115,-96.85758710451596,Entire Home/Apt,175.0,2,64,1.14,14,238,Dallas
52402919,73407361,District 6,32.88012,-96.87134,Entire Home/Apt,400.0,2,58,1.03,13,365,Dallas
52435933,26669452,District 5,32.7582,-96.70606,Entire Home/Apt,381.0,3,4,0.07,4,365,Dallas
52442665,80467395,District 3,32.67781,-96.84981,Entire Home/Apt,466.0,3,21,0.38,1,293,Dallas
52444904,122082073,District 2,32.80622100830078,-96.82445526123048,Entire Home/Apt,335.0,1,164,2.91,7,340,Dallas
52454342,66353000,District 10,32.92503,-96.71156,Entire Home/Apt,741.0,2,119,2.16,5,309,Dallas
52455203,71125064,District 1,32.74461,-96.82981,Entire Home/Apt,199.0,2,159,2.8,8,358,Dallas
52470332,430957331,District 12,32.99294,-96.7881,Entire Home/Apt,720.0,3,7,0.12,12,339,Dallas
52472564,393866295,District 4,32.73961,-96.80267,Private Room,58.0,30,4,0.07,2,82,Dallas
52519194,389244375,District 6,32.77665,-96.8423,Entire Home/Apt,166.0,1,7,0.12,1,360,Dallas
52535728,393796010,District 14,32.84756,-96.76382,Entire Home/Apt,69.0,10,2,0.04,2,270,Dallas
52553185,61469939,District 14,32.81136,-96.76073,Entire Home/Apt,514.0,2,26,0.5,2,86,Dallas
52560317,105820908,District 12,32.99048,-96.78686,Entire Home/Apt,485.0,2,24,0.43,3,82,Dallas
52583870,383139397,District 14,32.81069,-96.75455,Entire Home/Apt,127.0,2,153,2.73,1,319,Dallas
52585107,14879587,District 14,32.81766,-96.78339,Entire Home/Apt,209.0,1,204,3.62,10,79,Dallas
52598830,14879587,District 14,32.81753,-96.78208,Entire Home/Apt,169.0,1,217,3.85,10,80,Dallas
52615230,190813109,District 4,32.70963,-96.77665,Entire Home/Apt,128.0,15,27,0.56,3,289,Dallas
52655146,23916014,District 14,32.81185,-96.75823,Entire Home/Apt,261.0,4,11,0.2,91,206,Dallas
52658284,426266783,District 6,32.78316,-96.84811,Entire Home/Apt,234.0,2,215,3.83,1,350,Dallas
52660034,14879587,District 14,32.81931,-96.78336,Entire Home/Apt,169.0,1,168,2.98,10,75,Dallas
52672195,76661556,District 2,32.80828,-96.81291,Entire Home/Apt,422.0,7,125,2.26,1,225,Dallas
52675911,105820908,District 12,33.00562,-96.78557,Entire Home/Apt,471.0,2,22,0.41,3,59,Dallas
52693948,14879587,District 14,32.819,-96.78413,Entire Home/Apt,210.0,1,121,2.21,10,78,Dallas
52694162,423036404,District 6,32.78957,-96.85303,Entire Home/Apt,334.0,1,169,3.04,2,264,Dallas
52703892,211225279,District 14,32.80711,-96.79931,Entire Home/Apt,653.0,2,1,0.02,29,294,Dallas
52704634,153441049,District 14,32.78206,-96.79529,Entire Home/Apt,155.0,4,84,1.61,1,322,Dallas
